source_file,cleaned_file,status,rows_before,rows_after,columns_before,columns_after,duplicate_rows_removed,error
extracted_tables/027_Health_Bulletin_2023/table_0059.csv,cleaned_tables/027_Health_Bulletin_2023/table_0059.csv,ok,6,6,7,7,0,
extracted_tables/027_Health_Bulletin_2023/table_0060.csv,cleaned_tables/027_Health_Bulletin_2023/table_0060.csv,ok,14,8,34,17,6,
extracted_tables/027_Health_Bulletin_2023/table_0061.csv,cleaned_tables/027_Health_Bulletin_2023/table_0061.csv,ok,7,7,5,5,0,
extracted_tables/027_Health_Bulletin_2023/table_0062.csv,cleaned_tables/027_Health_Bulletin_2023/table_0062.csv,ok,6,6,5,5,0,
extracted_tables/027_Health_Bulletin_2023/table_0063.csv,cleaned_tables/027_Health_Bulletin_2023/table_0063.csv,ok,7,7,3,3,0,
extracted_tables/027_Health_Bulletin_2023/table_0064.csv,cleaned_tables/027_Health_Bulletin_2023/table_0064.csv,ok,10,10,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0065.csv,cleaned_tables/027_Health_Bulletin_2023/table_0065.csv,ok,21,16,49,35,5,
extracted_tables/027_Health_Bulletin_2023/table_0066.csv,cleaned_tables/027_Health_Bulletin_2023/table_0066.csv,ok,14,0,76,0,14,
extracted_tables/027_Health_Bulletin_2023/table_0067.csv,cleaned_tables/027_Health_Bulletin_2023/table_0067.csv,ok,8,7,2,2,1,
extracted_tables/027_Health_Bulletin_2023/table_0068.csv,cleaned_tables/027_Health_Bulletin_2023/table_0068.csv,ok,12,12,3,3,0,
extracted_tables/027_Health_Bulletin_2023/table_0069.csv,cleaned_tables/027_Health_Bulletin_2023/table_0069.csv,ok,6,6,3,3,0,
extracted_tables/027_Health_Bulletin_2023/table_0070.csv,cleaned_tables/027_Health_Bulletin_2023/table_0070.csv,ok,4,4,4,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0071.csv,cleaned_tables/027_Health_Bulletin_2023/table_0071.csv,ok,5,5,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0072.csv,cleaned_tables/027_Health_Bulletin_2023/table_0072.csv,ok,9,9,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0073.csv,cleaned_tables/027_Health_Bulletin_2023/table_0073.csv,ok,4,4,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0074.csv,cleaned_tables/027_Health_Bulletin_2023/table_0074.csv,ok,3,3,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0075.csv,cleaned_tables/027_Health_Bulletin_2023/table_0075.csv,ok,12,12,4,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0076.csv,cleaned_tables/027_Health_Bulletin_2023/table_0076.csv,ok,16,16,18,18,0,
extracted_tables/027_Health_Bulletin_2023/table_0077.csv,cleaned_tables/027_Health_Bulletin_2023/table_0077.csv,ok,12,12,9,9,0,
extracted_tables/027_Health_Bulletin_2023/table_0078.csv,cleaned_tables/027_Health_Bulletin_2023/table_0078.csv,ok,15,15,5,5,0,
extracted_tables/027_Health_Bulletin_2023/table_0079.csv,cleaned_tables/027_Health_Bulletin_2023/table_0079.csv,ok,11,0,9,0,11,
extracted_tables/027_Health_Bulletin_2023/table_0080.csv,cleaned_tables/027_Health_Bulletin_2023/table_0080.csv,ok,15,15,3,3,0,
extracted_tables/027_Health_Bulletin_2023/table_0081.csv,cleaned_tables/027_Health_Bulletin_2023/table_0081.csv,ok,10,10,3,3,0,
extracted_tables/027_Health_Bulletin_2023/table_0082.csv,cleaned_tables/027_Health_Bulletin_2023/table_0082.csv,ok,3,3,4,4,0,
extracted_tables/027_Health_Bulletin_2023/table_0083.csv,cleaned_tables/027_Health_Bulletin_2023/table_0083.csv,ok,5,5,5,5,0,
extracted_tables/027_Health_Bulletin_2023/table_0084.csv,cleaned_tables/027_Health_Bulletin_2023/table_0084.csv,ok,14,14,5,5,0,
extracted_tables/027_Health_Bulletin_2023/table_0085.csv,cleaned_tables/027_Health_Bulletin_2023/table_0085.csv,ok,11,11,6,6,0,
