file,category,rows,cols
extracted_tables/031_Health_Bulletin_2019/table_0002.csv,other,2,4
extracted_tables/031_Health_Bulletin_2019/table_0005.csv,other,10,4
extracted_tables/031_Health_Bulletin_2019/table_0053.csv,health_stat,2,6
extracted_tables/031_Health_Bulletin_2019/table_0060.csv,human_resource,2,5
extracted_tables/031_Health_Bulletin_2019/table_0065.csv,other,2,7
extracted_tables/031_Health_Bulletin_2019/table_0029.csv,other,4,18
extracted_tables/031_Health_Bulletin_2019/table_0001.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0059.csv,other,3,3
extracted_tables/031_Health_Bulletin_2019/table_0056.csv,health_stat,2,6
extracted_tables/031_Health_Bulletin_2019/table_0067.csv,other,9,2
extracted_tables/031_Health_Bulletin_2019/table_0018.csv,other,2,2
extracted_tables/034_Health_Bulletin_2016/table_0168.csv,other,9,5
extracted_tables/034_Health_Bulletin_2016/table_0188.csv,other,12,23
extracted_tables/034_Health_Bulletin_2016/table_0071.csv,population,19,9
extracted_tables/034_Health_Bulletin_2016/table_0272.csv,population,33,4
